code,name,ip
DK,丹麦,45.68.75.1
DJ,吉布提,45.68.74.1
DM,多米尼克,45.68.77.1
DO,多米尼加共和国,45.68.79.1
EC,厄瓜多尔,45.69.67.1
EG,埃及,2.16.0.0
SV,萨尔瓦多,45.83.86.1
GQ,赤道几内亚,45.71.81.1
ER,厄立特里亚,45.69.82.1
EE,爱沙尼亚,45.69.69.1
SZ,斯威士兰,45.83.90.1
ET,埃塞俄比亚,45.69.84.1
FK,福克兰群岛（马尔维纳斯）,45.70.75.1
FO,法罗群岛,45.70.79.1
FJ,斐济,103.18.0.0
FI,芬兰,45.70.73.1
FR,法国,2.0.0.0
GF,法属圭亚那,45.71.70.1
PF,法属波利尼西亚,45.80.70.1
TF,法属南部领地,45.84.70.1
GA,加蓬,45.71.65.1
GM,冈比亚,45.71.77.1
GE,格鲁吉亚,45.71.69.1
DE,德国,2.16.96.0
GH,加纳,45.71.72.1
GI,直布罗陀,45.71.73.1
GR,希腊,45.71.82.1
GL,格陵兰,45.71.76.1
GD,格林纳达,45.71.68.1
GP,瓜德罗普,45.71.80.1
GU,关岛,45.71.85.1
GT,危地马拉,45.71.84.1
GG,根西,45.71.71.1
GN,几内亚,45.71.78.1
GW,几内亚比绍,45.71.87.1
GY,圭亚那,45.71.89.1
HT,海地,45.72.84.1
HM,赫德岛和麦克唐纳群岛,45.72.77.1
VA,梵蒂冈,45.86.65.1
HN,洪都拉斯,45.72.78.1
HK,香港,1.36.0.0
HU,匈牙利,45.72.85.1
IS,冰岛,45.73.83.1
IN,印度,1.6.0.0
ID,印度尼西亚,1.0.0.0
IR,伊朗,45.73.82.1
IQ,伊拉克,45.73.81.1
IE,爱尔兰,45.73.69.1
IM,马恩岛,45.73.77.1
IL,以色列,2.52.0.0
IT,意大利,2.32.0.0
JM,牙买加,45.74.77.1
JP,日本,1.0.16.0
JE,泽西,45.74.69.1
JO,约旦,45.74.79.1
KZ,哈萨克斯坦,2.132.0.0
KE,肯尼亚,2.16.0.0
KI,基里巴斯,45.75.73.1
KP,朝鲜,45.75.80.1
KR,韩国,1.11.0.0
KW,科威特,45.75.87.1
KG,吉尔吉斯斯坦,45.75.71.1
LA,老挝人民民主共和国,45.76.65.1
LV,拉脱维亚,45.76.86.1
LB,黎巴嫩,45.76.66.1
LS,莱索托,45.76.83.1
LR,利比里亚,45.76.82.1
LY,利比亚,45.76.89.1
LI,列支敦士登,45.76.73.1
LT,立陶宛,45.76.84.1
LU,卢森堡,45.76.85.1
MO,澳门,113.52.0.0
MG,马达加斯加,45.77.71.1
MW,马拉维,45.77.87.1
MY,马来西亚,1.9.0.0
MV,马尔代夫,45.77.86.1
ML,马里,45.77.76.1
MT,马耳他,45.77.84.1
MH,马绍尔群岛,45.77.72.1
MQ,马提尼克,45.77.81.1
MR,毛里塔尼亚,45.77.82.1
MU,毛里求斯,45.77.85.1
YT,马约特,45.89.84.1
MX,墨西哥,2.16.0.0
FM,密克罗尼西亚联邦,45.70.77.1
MD,摩尔多瓦,45.77.68.1
MC,摩纳哥,45.77.67.1
MN,蒙古,202.131.0.0
ME,黑山,45.77.69.1
MS,蒙特塞拉特,45.77.83.1
MA,摩洛哥,45.77.65.1
MZ,莫桑比克,45.77.90.1
MM,缅甸,45.77.77.1
NA,纳米比亚,45.78.65.1
NR,瑙鲁,45.78.82.1
NP,尼泊尔,103.4.0.0
NL,荷兰,5.100.0.0
NC,新喀里多尼亚,45.78.67.1
NZ,新西兰,103.23.0.0
NI,尼加拉瓜,45.78.73.1
NE,尼日尔,45.78.69.1
NG,尼日利亚,2.16.0.0
NU,纽埃,45.78.85.1
NF,诺福克岛,45.78.70.1
MK,北马其顿,45.77.75.1
MP,北马里亚纳群岛,45.77.80.1
NO,挪威,45.78.79.1
OM,阿曼,45.79.77.1
PK,巴基斯坦,45.80.75.1
PW,帕劳,45.80.87.1
PS,巴勒斯坦,45.80.83.1
PA,巴拿马,45.80.65.1
PG,巴布亚新几内亚,45.80.71.1
PY,巴拉圭,45.80.89.1
PE,秘鲁,190.40.0.0
PH,菲律宾,1.37.0.0
PN,皮特凯恩,45.80.78.1
PL,波兰,45.80.76.1
PT,葡萄牙,45.80.84.1
PR,波多黎各,45.80.82.1
QA,卡塔尔,45.81.65.1
RE,留尼汪,45.82.69.1
RO,罗马尼亚,45.82.79.1
RU,俄罗斯,2.56.0.0
RW,卢旺达,45.82.87.1
BL,圣巴泰勒米,45.66.76.1
SH,圣赫勒拿、阿森松和特里斯坦-达库尼亚,45.83.72.1
KN,圣基茨和尼维斯,45.75.78.1
LC,圣卢西亚,45.76.67.1
MF,法属圣马丁,45.77.70.1
PM,圣皮埃尔和密克隆,45.80.77.1
VC,圣文森特和格林纳丁斯,45.86.67.1
WS,萨摩亚,45.87.83.1
SM,圣马力诺,45.83.77.1
ST,圣多美和普林西比,45.83.84.1
SA,沙特阿拉伯,5.40.0.0
SN,塞内加尔,45.83.78.1
RS,塞尔维亚,45.82.83.1
SC,塞舌尔,45.83.67.1
SL,塞拉利昂,45.83.76.1
SG,新加坡,1.32.128.0
SX,荷属圣马丁,45.83.88.1
SK,斯洛伐克,45.83.75.1
SI,斯洛文尼亚,45.83.73.1
SB,所罗门群岛,45.83.66.1
SO,索马里,45.83.79.1
ZA,南非,2.16.0.0
GS,南乔治亚和南桑威奇群岛,45.71.83.1
SS,南苏丹,45.83.83.1
ES,西班牙,2.136.0.0
LK,斯里兰卡,45.76.75.1
SD,苏丹,45.83.68.1
SR,苏里南,45.83.82.1
SJ,斯瓦尔巴和扬马延,45.83.74.1
SE,瑞典,2.20.0.0
CH,瑞士,45.67.72.1
SY,叙利亚,45.83.89.1
TW,台湾,1.160.0.0
TJ,塔吉克斯坦,45.84.74.1
TZ,坦桑尼亚,45.84.90.1
TH,泰国,1.0.128.0
TL,东帝汶,45.84.76.1
TG,多哥,45.84.71.1
TK,托克劳,45.84.75.1
TO,汤加,45.84.79.1
TT,特立尼达和多巴哥,45.84.84.1
TN,突尼斯,45.84.78.1
TR,土耳其,5.44.0.0
TM,土库曼斯坦,45.84.77.1
TC,特克斯和凯科斯群岛,45.84.67.1
TV,图瓦卢,45.84.86.1
UG,乌干达,45.85.71.1
UA,乌克兰,45.85.65.1
AE,阿拉伯联合酋长国,2.48.0.0
GB,英国,2.16.0.0
UM,美国本土外小岛屿,45.85.77.1
US,美国,3.0.0.0
UY,乌拉圭,45.85.89.1
UZ,乌兹别克斯坦,81.95.0.0
VU,瓦努阿图,45.86.85.1
VE,委内瑞拉,45.86.69.1
VN,越南,1.52.0.0
VG,英属维尔京群岛,45.86.71.1
VI,美属维尔京群岛,45.86.73.1
WF,瓦利斯和富图纳,45.87.70.1
EH,西撒哈拉,45.69.72.1
YE,也门,45.89.69.1
ZM,赞比亚,45.90.77.1
ZW,津巴布韦,45.90.87.1
